"id","question_id","body","created_at","updated_at","created_by","updated_by","annotation","ip_address","approval_status_id","best_answer","needs_lawyer_id","is_spam","disclaimer","answer_medium_id","answer_quality","draft"
1034,1133,"oops","2008-01-09 23:05:58","2008-01-10 10:35:55",248,248,"this is tony's nonsense.",NULL,3,0,NULL,0,NULL,1,0,0
1592,1513,"Hi.  Looks like a re-post.  See the answer here:  http://www.avvo.com/legal-answers/termination-from-employment-while-out-on-an-l---i--1512.html","2008-01-28 14:36:44","2012-04-23 20:10:47",9132,9132,"unnecessary; question was a dup and was taken down","24.19.24.35",3,0,NULL,0,NULL,1,3.5,0
5129,3264,"Well, thieves can go to Federal prison for one.","2008-05-07 20:38:01","2012-04-23 20:23:30",5322,16100,"irrelevant answer","76.173.212.240",3,0,NULL,0,NULL,1,5.5,0
6104,3675,"sdf=Spill Drink Faster?    Dont Drive Drunk.","2008-05-22 02:43:06","2008-05-22 09:03:15",16533,16533,"incoherent","72.28.147.144",3,0,NULL,0,NULL,1,0,0
6123,3683,"I would recommend that you contact an oil & gas lawyer in Texas to help you. Even though your question pertains to minerals, this type of law usually falls under the umbrella of oil & gas.   A list of Texas oil & gas lawyers can be found here: http://www.avvo.com/business-oil-gas-law/tx.html","2008-05-22 10:02:21","2012-04-23 20:27:03",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,1,0
7203,4391,"You might find this article of interest: http://www.rosen.com/ppf/Law/Divorce/rosen/201/articles.asp","2008-06-10 15:50:11","2010-01-29 09:18:31",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
7852,4809,"Don't do your own car repair, unless you are a car mechanic.  Do not prescribe drugs, unless you are a physician.  Don't work on an expunction or record sealing matter unless you are attorney.  Hire an attorney to assist you.  Prices are pretty competitive for expunction or record sealing matters; you should be able to find one in your budget.  Semper Fi, Patrick McLain","2008-06-21 07:33:49","2008-06-23 08:28:52",20785,20785,"incoherent","70.251.120.59",3,0,NULL,0,NULL,1,0,0
8233,5135,"Your vote counts. Make sure you voice your opinions to your friends and neighbors and when it's time to vote the current administration out of office - make your vote count!","2008-06-28 06:44:59","2012-04-23 20:37:39",3106,21216,"answer not related to this question","98.200.205.12",3,0,NULL,0,NULL,1,4.5,0
8937,5641,"Why do you care?  You should get a life.","2008-07-08 22:18:27","2010-04-05 19:09:24",20329,14907,"not really a legal answer","76.21.105.79",3,0,NULL,0,NULL,1,0,0
11238,7810,"You should threaten to take the car wash owner to small claims court - tell him that his proposed solution will not work for you, since it will violate your lease.","2008-08-15 10:34:50","2012-04-23 20:47:49",17551,17551,"SHalini asked me to take it down - cc","64.81.170.31",3,0,NULL,0,NULL,1,3.5,0
11458,8042,"You may call my office for a free consultation at 800-816-1529 ext. 1  Norm","2008-08-19 14:18:33","2012-04-23 20:48:32",979,17551,"solicitation","24.24.165.102",3,0,NULL,0,NULL,1,3.5,0
13036,9440,"The foregoing is an excellent answer.","2008-09-16 10:24:46","2012-04-23 20:53:39",16344,59908,"not an actual answer -Jeannie 4/7/09","75.103.2.226",3,0,NULL,0,NULL,1,3.5,0
14405,10692,"DISCLAIMER- THIS IS NOT INTENDED TO AND DOES NOT CONSTITUTE LEGAL ADVICE AND DOES NOT ESTABLISH AN ATTORNEY-CLIENT RELATIONSHIP. CONSULT QUALIFIED LEGAL COUNSEL IN YOUR CITY OR STATE FOR IMMEDIATE LEGAL ADVICE.   ---  The answer to your question, can you be sued, is yes! In fact, if you have already been served, then you have already been sued.   The Americans With Disabilities Act (ADA) has a very comprehensive and specific set of rules for business owners. You should bring your papers to a lawyer for review to see if you have been in violation of what was alleged, or if you fit within an exception to the rule.   --- The above information is provided for discussion purposes only. Jackson & Wilson, Inc. and its attorneys believe in helping people and answering their questions and providing information and solutions. To encourage and facilitate this practice, it is understood and agreed by the recipient that by opening, reading and viewing this information, no attorney-client relationship has been discussed, agreed to or otherwise established. In legal matters, time is of the essence. As such, you should contact an experienced lawyer right away to protect your legal rights!","2008-10-02 10:08:08","2012-04-23 20:58:21",20398,20398,"taken down pre request of attorney, forwarded info from shalini.  Jeannie","75.51.90.51",3,0,NULL,0,NULL,1,3.5,0
14482,10893,"You, I believe, posted the same question on LawGuru. The answer does not shift from site to site.","2008-10-02 14:54:47","2012-04-23 20:58:39",16344,59908,"not a helpful answer -Jeannie 4/7/09","71.184.209.102",3,0,NULL,0,NULL,1,3.5,0
15294,11749,"Do you feel comfortable asking your spouse to make a copy for you?","2008-10-10 03:56:31","2012-04-23 21:01:37",17551,17551,"not an answer to the question","24.19.9.183",3,0,NULL,0,NULL,1,3.5,0
19357,14851,"Hi, I'm not licensed in New York, but it sounds like you may have acted in self defense.  To know for sure, a New York criminal defense lawyer will have to review the details of your case.  You can find a list of New York criminal defense lawyers here: http://www.avvo.com/search/lawyer_search?q=Criminal+Defense&loc=new+york","2008-11-03 16:33:31","2010-01-29 09:34:07",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19358,14853,"Hi, I'm not an Arizona lawyer, but I did find a page that might be of help to you: http://www.supreme.state.az.us/nav2/elder.htm.  To know for sure, you would need to speak with an AZ probate lawyer.  Here is a list: http://www.avvo.com/search/lawyer_search?q=probate&loc=az","2008-11-03 16:39:52","2012-04-23 21:14:59",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,1,0
19362,14852,"Hi, I'm not a Florida lawyer, but I did find a web page that may be of help to you: http://www.womenslaw.org/laws_state_type.php?statelaw_name=Custody&state_code=FL.  To know your rights for sure, you should speak with a local attorney.  Here are a list of lawyers in Orlando who practice family law: http://www.avvo.com/search/lawyer_search?q=family&loc=Orlando%2C+FL","2008-11-03 16:44:35","2010-01-29 09:34:29",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19365,14849,"Hello, I'm not a North Carolina lawyer, so I can't answer your question.  However, I would advise you to contact a criminal defense lawyer in North Carolina.  Here is a list of criminal defense lawyers in NC: http://www.avvo.com/search/lawyer_search?q=criminal+defense&loc=nc#","2008-11-03 16:52:08","2010-01-29 09:33:23",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19366,14841,"Hello, I'm not a PA attorney, so I can't answer your question.  However, I did find a web page that may be of help to you: http://www.attorneygeneral.gov/consumers.aspx?id=405 .  See the bottom section about security deposits.  Also see this previously asked question: http://www.avvo.com/legal-answers/what-can-a-tenant-do-to-compel-landlord-in-returni-12105.html","2008-11-03 16:56:18","2010-01-29 09:51:07",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19367,14840,"Hello, I'm not an Idaho attorney so I can't answer your question.  However, I did find this web page from the Idaho Attorney General that mentions a statute of limitations for misdemeanors: http://www2.state.id.us/ag/newsrel/2003/nr_feb142003.htm .  The only way to know for sure is to consult an Idaho criminal defense attorney.","2008-11-03 17:01:20","2012-04-23 21:15:01",16766,27307,14840,"64.81.170.31",3,0,NULL,0,NULL,1,1,0
19370,14838,"Hello, I'm not a MN lawyer, so I can't answer your question.  However, you can read attorneys' opinions about other situations where people have questioned car searches here: http://www.avvo.com/search/answer_search?q=search+car&loc=#has_answers_b=true","2008-11-03 17:09:27","2010-01-29 09:50:25",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19371,14836,"Hello, I'm not a Nevada attorney, so I don't know the answer to your question for sure.  However, many times renter questions can be answered by first looking at your lease.  There is likely a provision in there that specifies your landlord's right to re-enter.","2008-11-03 17:17:46","2010-01-29 09:31:25",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19374,14830,"This previously asked question may have the answer you're looking for: http://www.avvo.com/legal-answers/child-support-4281.html","2008-11-03 17:19:46","2010-01-29 09:50:07",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19377,14827,"Hello, I'm not an AZ lawyer, so I can't answer your question.  However, your question strikes me as bringing up two different issues.  There's the possible criminal liability of the police who shot your father.  To address that, you should speak with a Phoenix civil rights lawyer.  Here is a list: http://www.avvo.com/search/lawyer_search?q=civil+rights&loc=az .  The second aspect is a civil case against the police for possible wrongful death of your father.  To address that, you should speak with a wrongful death attorney.  Here is a list: http://www.avvo.com/search/lawyer_search?q=wrongful+death&loc=Arizona","2008-11-03 17:29:17","2012-04-23 21:15:03",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,2,0
19379,14821,"Hello, I'm not a CA attorney, so I don't know the exact answer to your question.  However, you might find this previously asked question similar to yours: http://www.avvo.com/legal-answers/can-a-grandparent-seek-child-custody-of-granddaugh-13732.html","2008-11-03 17:32:43","2010-01-29 09:30:16",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19380,14819,"Hello, I'm not a CA attorney, so I don't know the exact answer to your question. However, you might find this previously asked question similar to yours since it also involves a grandparent: http://www.avvo.com/legal-answers/can-a-grandparent-seek-child-custody-of-granddaugh-13732.html","2008-11-03 17:34:21","2010-01-29 09:49:48",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
